,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
0,2014,ACURA,ILX,COMPACT,2.0,4.0,AS5,Z,9.9,6.7,8.5,33,196.0
1,2014,ACURA,ILX,COMPACT,2.4,4.0,M6,Z,11.2,7.7,9.6,29,221.0
2,2014,ACURA,ILX HYBRID,COMPACT,1.5,4.0,AV7,Z,6.0,5.8,5.9,48,136.0
3,2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6.0,AS6,Z,12.7,9.1,11.1,25,
4,2014,ACURA,RDX AWD,SUV - SMALL,3.5,6.0,AS6,Z,12.1,8.7,10.6,27,244.0
5,2014,ACURA,RLX,MID-SIZE,3.5,6.0,AS6,Z,11.9,7.7,10.0,28,230.0
6,2014,ACURA,TL,MID-SIZE,3.5,6.0,AS6,Z,11.8,8.1,10.1,28,232.0
7,2014,ACURA,TL AWD,MID-SIZE,3.7,6.0,AS6,Z,12.8,9.0,11.1,25,255.0
8,2014,ACURA,TL AWD,MID-SIZE,3.7,6.0,M6,Z,13.4,9.5,11.6,24,267.0
9,2014,ACURA,TSX,COMPACT,2.4,4.0,AS5,Z,10.6,7.5,9.2,31,212.0
10,2014,ACURA,TSX,COMPACT,2.4,4.0,M6,Z,11.2,8.1,9.8,29,225.0
11,2014,ACURA,TSX,COMPACT,3.5,6.0,AS5,Z,12.1,8.3,10.4,27,239.0
12,2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18,359.0
13,2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18,359.0
14,2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,AM7,Z,17.4,11.3,14.7,19,338.0
15,2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.2,15.4,18,354.0
16,2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8.0,AM7,Z,17.4,11.3,14.7,19,338.0
17,2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.2,15.4,18,354.0
18,2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18,359.0
19,2014,AUDI,A4,COMPACT,2.0,4.0,AV8,,9.9,7.4,8.8,32,202.0
20,2014,AUDI,A4 QUATTRO,COMPACT,2.0,4.0,AS8,Z,11.5,8.1,10.0,28,
21,2014,AUDI,A4 QUATTRO,COMPACT,2.0,4.0,M6,Z,10.8,7.5,9.3,30,214.0
22,2014,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AS8,Z,11.5,8.1,10.0,28,230.0
23,2014,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,AS8,Z,11.5,8.1,10.0,28,230.0
24,2014,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,Z,10.8,7.5,9.3,30,214.0
25,2014,AUDI,A6 QUATTRO,MID-SIZE,2.0,4.0,AS8,Z,12.0,8.1,10.2,28,235.0
26,2014,AUDI,A6 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,12.8,8.6,10.9,26,251.0
27,2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3.0,6.0,AS8,D,9.8,6.4,8.3,34,224.0
28,2014,AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,13.1,8.8,11.2,25,258.0
29,2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3.0,6.0,AS8,D,9.8,6.4,8.3,34,224.0
30,2014,AUDI,A8,MID-SIZE,3.0,6.0,AS8,,13.1,8.8,11.2,25,
31,2014,AUDI,A8,MID-SIZE,4.0,8.0,AS8,Z,13.5,8.6,11.3,25,260.0
32,2014,AUDI,A8 TDI CLEAN DIESEL,MID-SIZE,3.0,6.0,AS8,D,10.0,6.4,8.4,34,227.0
33,2014,AUDI,A8L,FULL-SIZE,3.0,6.0,AS8,Z,13.1,8.8,11.2,25,258.0
34,2014,AUDI,A8L,FULL-SIZE,4.0,8.0,AS8,Z,14.7,9.7,12.5,23,288.0
35,2014,AUDI,A8L,FULL-SIZE,6.3,12.0,AS8,Z,18.2,12.6,15.7,18,361.0
36,2014,AUDI,A8L TDI CLEAN DIESEL,FULL-SIZE,3.0,6.0,AS8,D,10.1,6.5,8.5,33,230.0
37,2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4.0,AS8,Z,11.8,8.8,10.5,27,242.0
38,2014,AUDI,Q5,SUV - SMALL,2.0,4.0,AS8,Z,12.0,8.5,10.4,27,239.0
39,2014,AUDI,Q5,SUV - SMALL,3.0,,AS8,Z,12.9,9.2,11.2,25,258.0
40,2014,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4.0,AS8,Z,9.9,8.3,9.2,31,212.0
41,2014,AUDI,Q5 TDI CLEAN DIESEL,SUV - SMALL,3.0,6.0,AS8,D,10.3,7.6,9.1,31,246.0
42,2014,AUDI,Q7,SUV - STANDARD,3.0,,AS8,Z,15.1,10.9,13.2,21,
43,2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3.0,6.0,AS8,D,12.9,8.4,10.9,26,
44,2014,AUDI,R8,TWO-SEATER,4.2,8.0,A7,Z,17.6,11.0,14.6,19,336.0
45,2014,AUDI,R8,TWO-SEATER,4.2,8.0,M6,,21.2,13.4,17.7,16,407.0
46,2014,AUDI,R8,TWO-SEATER,5.2,10.0,A7,Z,18.8,11.3,15.4,18,354.0
47,2014,AUDI,R8,TWO-SEATER,5.2,10.0,M6,Z,21.1,13.8,17.8,16,409.0
48,2014,AUDI,R8 SPYDER,TWO-SEATER,,8.0,A7,Z,17.6,11.0,14.6,19,
49,2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8.0,M6,Z,21.2,13.4,17.7,16,
50,2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,A7,,18.8,11.3,15.4,18,354.0
51,2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,M6,Z,21.1,13.8,17.8,16,409.0
52,2014,AUDI,RS5,SUBCOMPACT,4.2,8.0,A7,Z,15.3,10.9,13.3,21,306.0
53,2014,AUDI,RS5 CABRIOLET,SUBCOMPACT,4.2,8.0,A7,Z,15.2,11.3,13.4,21,308.0
54,2014,AUDI,RS7,MID-SIZE,4.0,8.0,AS8,Z,15.3,9.3,12.6,22,290.0
55,2014,AUDI,S4,COMPACT,3.0,6.0,A7,Z,13.2,9.2,11.4,25,262.0
56,2014,AUDI,S4,COMPACT,3.0,6.0,M6,Z,14.6,9.8,12.4,23,285.0
57,2014,AUDI,S5,SUBCOMPACT,3.0,6.0,A7,Z,13.2,9.2,11.4,25,262.0
58,2014,AUDI,S5,SUBCOMPACT,3.0,6.0,M6,Z,14.6,9.8,12.4,23,285.0
59,2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6.0,A7,Z,13.3,9.5,11.6,24,267.0
60,2014,AUDI,S6,MID-SIZE,4.0,8.0,A7,Z,14.2,9.7,12.2,23,
